Team,Nationality,Position,Age,Potential,Name
Toulouse Football Club ,France,Defensor Lateral Derecho | Defensor Central,25,Bueno,Steven Moreira
Club River Plate Asunción ,Paraguay,Segundo Delantero,30,Bueno,Robin Ramírez
Girona FC ,Spain,Segundo Delantero | Mediocampista Izquierdo | Centrocampista Ofensivo Central,25,Bueno,Brandon Thomas
Nottingham Forest ,Portugal,Defensor Central,26,Bueno,Tobias Figueiredo
1. FC Nürnberg ,Portugal,Mediocampista Derecho | Delantero Centro,26,Bueno,Iuri Medeiros
Club Atlético Aldosivi ,Argentina,Defensor Central,28,Bueno,Leonel Galeano
Chicago Fire Soccer Club ,Poland,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Przemyslaw Frankowski
Ascoli ,Serbia,Centrocampista Ofensivo Central | Delantero Centro,25,Bueno,Nikola Ninkovic
Derby County ,England,Defensor Lateral Izquierdo,23,Muy Bueno,Max Lowe
Gallos Blancos de Querétaro ,Mexico,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Michael Pérez
Karlsruher SC ,Germany,Mediocampista Defensivo Central | Mediocampista Central,32,Bueno,Jérôme Gondorf
Cerezo Osaka ,Brazil,Segundo Delantero,25,Bueno,Bruno Mendes
Girona FC ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,28,Bueno,Álex Gallar
New York City FC ,Peru,Defensor Central,28,Bueno,Alexander Callens
Chelsea ,England,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,25,Bueno,Lewis Baker
América de Cali ,Colombia,Defensor Lateral Izquierdo | Extremo Izquierdo,28,Bueno,Héctor Quiñones
Cagliari ,Italy,Defensor Lateral Derecho | Mediocampista Derecho | Mediocampista Central,27,Bueno,Paolo Faragò
Rayo Vallecano ,North Macedonia,Arquero,26,Bueno,Stole Dimitrievski
Toulouse Football Club ,Uruguay,Arquero,32,Bueno,Mauro Goicoechea
Atlético Tucumán ,Argentina,Mediocampista Defensivo Central | Mediocampista Izquierdo | Mediocampista Central,34,Bueno,Ariel Rojas
Racing Club de Lens ,France,Segundo Delantero | Mediocampista Derecho,25,Bueno,Corentin Jean
Malmö FF ,Iceland,Mediocampista Derecho,27,Bueno,Arnór Ingvi Traustason
Konyaspor ,Peru,Mediocampista Izquierdo | Centrocampista Ofensivo Central,30,Bueno,Paolo Hurtado
AEK Athens ,Portugal,Defensor Lateral Derecho | Mediocampista Derecho,29,Bueno,Paulinho
Al Hilal ,Korea Republic,Defensor Central,28,Bueno,Jang Hyeon Soo
Fiorentina ,Italy,Defensor Central,28,Bueno,Federico Ceccherini
Al Hilal ,Saudi Arabia,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Abdullah Ateef
DSC Arminia Bielefeld ,Sweden,Defensor Central,26,Bueno,Joakim Nilsson
Cardiff City ,Scotland,Segundo Delantero | Centrocampista Ofensivo Central,25,Bueno,Callum Paterson
Lokomotiv Moscow ,Montenegro,Segundo Delantero,26,Bueno,Luka Dordevic
Rosenborg BK ,Norway,Mediocampista Central,25,Bueno,Anders Trondsen
FC St. Gallen 1879 ,Spain,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Jordi Quintillà
Patronato ,Uruguay,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,30,Bueno,Mathias Abero
FC Utrecht ,Sweden,Extremo Izquierdo,25,Bueno,Kristoffer Peterson
U.N.A.M. ,Mexico,Mediocampista Central,29,Bueno,Juan Pablo Vigón
Impact Montréal ,Honduras,Segundo Delantero | Mediocampista Izquierdo | Extremo Izquierdo,28,Bueno,Romell Quioto
SV Sandhausen ,Germany,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Denis Linsmayer
Málaga CF ,Portugal,Mediocampista Derecho | Mediocampista Izquierdo,28,Bueno,Renato Santos
Free Agents ,Hungary,Defensor Lateral Derecho,31,Bueno,Gergo Lovrencsics
FC Nantes ,Peru,Mediocampista Izquierdo | Centrocampista Ofensivo Central | Delantero Centro,26,Bueno,Cristian Benavente
SV Darmstadt 98 ,Germany,Arquero,27,Bueno,Marcel Schuhen
Granada CF ,Spain,Defensor Lateral Derecho | Defensor Lateral Izquierdo,30,Bueno,Quini
Vitória Setúbal ,Brazil,Mediocampista Central | Centrocampista Ofensivo Central,26,Bueno,Carlinhos
Universidad Católica ,Chile,Defensor Lateral Derecho | Defensor Lateral Izquierdo,27,Bueno,Stefano Magnasco
Sporting CP ,Brazil,Mediocampista Central | Centrocampista Ofensivo Central,26,Bueno,Mattheus Oliveira
ESTAC Troyes ,France,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Florian Tardieu
Perugia ,Italy,Segundo Delantero,28,Bueno,Pietro Iemmello
Al Raed ,Syria,Centrocampista Ofensivo Central,37,Bueno,Jehad Al Hussien
Club Libertad ,Paraguay,Defensor Lateral Derecho | Defensor Central,31,Bueno,Luis Cardozo
Al Hilal ,Saudi Arabia,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,30,Bueno,Nawaf Al Abed
ESTAC Troyes ,France,Defensor Central,28,Bueno,Jimmy Giraudon
En Avant Guingamp ,Comoros,Mediocampista Central | Centrocampista Ofensivo Central,29,Bueno,Youssouf M'Changama
Cardiff City ,Wales,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Will Vaulks
Fulham ,England,Defensor Central,26,Bueno,Alfie Mawson
Santos Laguna ,Mexico,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,27,Bueno,Josecarlos Van Rankin
Sport-Club Freiburg ,Germany,Defensor Lateral Derecho,27,Bueno,Lukas Kübler
Philadelphia Union ,Poland,Segundo Delantero,27,Bueno,Kacper Przybylko
Ulsan Hyundai Horang-i ,Korea Republic,Mediocampista Derecho | Extremo Derecho,30,Bueno,Kim In Seong
Monterrey ,Mexico,Mediocampista Central | Centrocampista Ofensivo Central,25,Bueno,Alfonso González
CD Mirandés ,Venezuela,Defensor Lateral Derecho,27,Bueno,Alexander González
Sint-Truidense VV ,DR Congo,Defensor Lateral Derecho | Mediocampista Derecho | Centrocampista Ofensivo Central,27,Bueno,Jordan Botaka
Gamba Osaka ,Brazil,Segundo Delantero | Mediocampista Izquierdo,26,Bueno,Ademilson
Denizlispor ,Tunisia,Defensor Central,31,Bueno,Syam Ben Youssef
Brøndby IF ,Sweden,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Izquierdo,25,Bueno,Simon Tibbling
Frosinone ,Sweden,Mediocampista Defensivo Central | Mediocampista Central,29,Bueno,Marcus Rohdén
Club Deportivo El Nacional ,Ecuador,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,33,Bueno,Juan Carlos Paredes
Hull City ,England,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,26,Bueno,Marcus Maddison
Hull City ,England,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Kevin Stewart
Free Agents ,Australia,Segundo Delantero,30,Bueno,Apostolos Giannou
Celtic ,Israel,Defensor Central | Mediocampista Defensivo Central,28,Bueno,Nir Bitton
Sparta Praha ,Israel,Mediocampista Derecho | Mediocampista Izquierdo,30,Bueno,Tal Ben Haim
Levante UD ,Spain,Defensor Lateral Derecho,26,Bueno,Iván López
Brescia ,Italy,Defensor Lateral Derecho,27,Bueno,Stefano Sabelli
Kaizer Chiefs ,Zimbabwe,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,34,Bueno,Willard Katsande
Sheffield Wednesday ,England,Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,25,Bueno,Jacob Murphy
Cardiff City ,England,Mediocampista Izquierdo,25,Bueno,Josh Murphy
Fulham ,England,Mediocampista Defensivo Central | Mediocampista Derecho,25,Bueno,Harrison Reed
Millwall ,England,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Ryan Woods
Fiorentina ,Italy,Arquero,30,Bueno,Pietro Terracciano
Pescara ,Italy,Segundo Delantero | Centrocampista Ofensivo Central | Delantero Centro,29,Bueno,Manuel Pucciarelli
Colorado Rapids ,England,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Jack Price
Benevento ,Italy,Defensor Lateral Derecho | Defensor Central,28,Bueno,Luca Antei
Cádiz CF ,Honduras,Segundo Delantero,27,Bueno,Anthony Lozano
Universidad de Chile ,Chile,Mediocampista Defensivo Central | Mediocampista Central,30,Bueno,Gonzalo Espinoza
Sheffield Wednesday ,Australia,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Massimo Luongo
SD Huesca ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,32,Bueno,David Ferreiro
UD Las Palmas ,Spain,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Ruiz de Galarreta
RC Deportivo ,Ivory Coast,Segundo Delantero | Extremo Izquierdo,28,Bueno,Mamadou Koné
Kasimpasa SK ,DR Congo,Mediocampista Derecho | Extremo Derecho,29,Bueno,Dieumerci Ndongala
SK Rapid Wien ,Austria,Mediocampista Defensivo Central | Mediocampista Central,29,Bueno,Stefan Schwab
Gençlerbirligi SK ,Netherlands,Segundo Delantero,28,Bueno,Mats Seuntjens
Clermont Foot 63 ,France,Arquero,27,Bueno,Maxime Dupé
Heart of Midlothian ,Northern Ireland,Defensor Lateral Derecho | Defensor Central | Mediocampista Defensivo Central,31,Bueno,Michael Smith
FC Utrecht ,Netherlands,Segundo Delantero | Mediocampista Central | Centrocampista Ofensivo Central,27,Bueno,Sander van de Streek
Club Atlético Central Córdoba ,Argentina,Segundo Delantero | Mediocampista Izquierdo | Centrocampista Ofensivo Central,32,Bueno,Gervasio Núñez
Ascoli ,Italy,Segundo Delantero | Extremo Derecho,27,Bueno,Marcello Trotta
Fulham ,England,Arquero,28,Bueno,Marcus Bettinelli
Gyeongnam FC ,Serbia,Segundo Delantero,28,Bueno,Uroš Deric
Deportivo Binacional ,Peru,Arquero,34,Bueno,Rául Fernández
Hammarby IF ,United States,Segundo Delantero,29,Bueno,Aron Jóhannsson
Stoke City ,England,Defensor Lateral Derecho,28,Bueno,Tommy Smith
Kaizer Chiefs ,South Africa,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,31,Bueno,George Maluleka
SG Dynamo Dresden ,Germany,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,31,Bueno,Chris Löwe
Nottingham Forest ,England,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,28,Bueno,Sammy Ameobi
Middlesbrough ,DR Congo,Segundo Delantero,27,Bueno,Britt Assombalonga
Shakhtar Donetsk ,Brazil,Mediocampista Izquierdo | Centrocampista Ofensivo Central,28,Bueno,Wellington Nem
Hannover 96 ,Germany,Defensor Central,27,Bueno,Marcel Franke
Rio Ave FC ,Brazil,Extremo Derecho | Extremo Izquierdo,26,Bueno,Lucas Piazón
Ulsan Hyundai Horang-i ,Korea Republic,Mediocampista Defensivo Central | Mediocampista Central,31,Bueno,Sin Jin Ho
IFK Norrköping ,Sweden,Segundo Delantero | Extremo Derecho,27,Bueno,Christoffer Nyman
Stade Brestois 29 ,Italy,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,28,Bueno,Cristian Battocchio
Western United FC ,Australia,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,28,Bueno,Josh Risdon
RC Celta ,Spain,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,26,Bueno,David Juncà
Sivasspor ,Turkey,Defensor Lateral Izquierdo,32,Bueno,Ziya Erdal
Urawa Red Diamonds ,Brazil,Segundo Delantero | Delantero Centro,30,Bueno,Fabrício
Jeonbuk Hyundai Motors ,Korea Republic,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,32,Bueno,Lee Seung Gi
Chicago Fire Soccer Club ,United States,Segundo Delantero | Mediocampista Izquierdo,31,Bueno,CJ Sapong
Medipol Basaksehir FK ,Australia,Defensor Lateral Izquierdo,29,Bueno,Aziz Behich
Hammarby IF ,Sweden,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,28,Bueno,Abdul Khalili
FC St. Pauli ,Germany,Defensor Central | Mediocampista Defensivo Central,29,Bueno,Marvin Knoll
Vitória Guimarães ,Netherlands,Extremo Derecho | Extremo Izquierdo,28,Bueno,Ola John
Bristol City ,DR Congo,Segundo Delantero,27,Bueno,Benik Afobe
Kawasaki Frontale ,Japan,Mediocampista Derecho | Centrocampista Ofensivo Central,34,Bueno,Akihiro Ienaga
Al Fateh ,Norway,Mediocampista Izquierdo | Extremo Izquierdo,27,Bueno,Gustav Wikheim
BK Häcken ,Norway,Segundo Delantero,32,Bueno,Alexander Søderlund
Pordenone ,Italy,Defensor Central,28,Bueno,Michele Camporese
Gyeongnam FC ,Brazil,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,28,Bueno,Negueba
Molde FK ,Norway,Segundo Delantero | Mediocampista Izquierdo,26,Bueno,Ohi Omoijuanfo
Free Agents ,Hungary,Mediocampista Derecho | Centrocampista Ofensivo Central,28,Bueno,István Kovács
Free Agents ,Hungary,Mediocampista Defensivo Central | Mediocampista Central,32,Bueno,Máté Pátkai
Free Agents ,Cameroon,Mediocampista Izquierdo | Extremo Izquierdo,28,Bueno,Paul-Georges Ntep
Málaga CF ,Spain,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,30,Bueno,Juankar
LA Galaxy ,United States,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,27,Bueno,Sebastian Lletget
VfL Bochum 1848 ,Austria,Segundo Delantero | Mediocampista Central | Centrocampista Ofensivo Central,28,Bueno,Robert Zulj
Aalborg BK ,Denmark,Mediocampista Derecho | Extremo Derecho,28,Bueno,Kasper Kusk
AJ Auxerre ,France,Segundo Delantero,30,Bueno,Mickaël Le Bihan
1. FC Nürnberg ,Germany,Defensor Lateral Derecho | Defensor Central,30,Bueno,Oliver Sorg
Clermont Foot 63 ,France,Defensor Central,31,Bueno,Florent Ogier
Vegalta Sendai ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,29,Bueno,Isaac Cuenca
Göztepe SK ,Turkey,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,29,Bueno,Soner Aydogdu
Ulsan Hyundai Horang-i ,Korea Republic,Mediocampista Izquierdo | Mediocampista Central,30,Bueno,Yoon Bit Garam
Suwon Samsung Bluewings ,Australia,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,26,Bueno,Terry Antonis
KV Kortrijk ,Belgium,Defensor Lateral Izquierdo | Mediocampista Izquierdo,30,Bueno,Kristof D'Haene
Leeds United ,Scotland,Defensor Lateral Izquierdo,30,Bueno,Barry Douglas
Nottingham Forest ,Zimbabwe,Defensor Lateral Derecho,28,Bueno,Tendayi Darikwa
Unión La Calera ,Argentina,Defensor Lateral Izquierdo | Defensor Central,32,Bueno,Santiago García
Columbus Crew SC ,Morocco,Mediocampista Izquierdo,28,Bueno,Youness Mokhtar
FC København ,Denmark,Defensor Lateral Izquierdo,28,Bueno,Nicolai Boilesen
KV Mechelen ,Belgium,Mediocampista Defensivo Central | Mediocampista Central,29,Bueno,Joachim Van Damme
Al Raed ,Colombia,Segundo Delantero,29,Bueno,Marco Pérez
Sampdoria ,Poland,Defensor Lateral Derecho,28,Bueno,Bartosz Bereszynski
Club Deportivo Jorge Wilstermann ,Argentina,Defensor Central,32,Bueno,Marco Torsiglieri
Sint-Truidense VV ,Portugal,Defensor Central,33,Bueno,Jorge Teixeira
CFR Cluj ,Romania,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Derecho,34,Bueno,Ciprian Deac
Guadalajara ,Mexico,Defensor Lateral Derecho,30,Bueno,Jesús Sánchez
SK Sturm Graz ,lbania,Segundo Delantero,29,Bueno,Bekim Balaj
SV Darmstadt 98 ,Germany,Mediocampista Central | Centrocampista Ofensivo Central,31,Bueno,Tobias Kempe
Al Fateh ,Uruguay,Defensor Lateral Derecho | Defensor Lateral Izquierdo,31,Bueno,Matías Aguirregaray
VfL Bochum 1848 ,Germany,Arquero,31,Bueno,Manuel Riemann
Gyeongnam FC ,Korea Republic,Extremo Derecho | Extremo Izquierdo,32,Bueno,Hwang Il Soo
VfL Bochum 1848 ,France,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,34,Bueno,Anthony Losilla
FC Sion ,lbania,Defensor Lateral Izquierdo | Mediocampista Izquierdo,30,Bueno,Ermir Lenjani
Sport-Club Freiburg ,lbania,Mediocampista Defensivo Central | Mediocampista Central,30,Bueno,Amir Abrashi
Ulsan Hyundai Horang-i ,Korea Republic,Defensor Central,31,Bueno,Yun Young Sun
FC Nantes ,France,Defensor Lateral Derecho,28,Bueno,Dennis Appiah
New York City FC ,Sweden,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,29,Bueno,Anton Tinnerholm
Ettifaq FC ,Algeria,Arquero,34,Bueno,Raïs M'Bolhi
Norwich City ,Scotland,Defensor Central,28,Bueno,Grant Hanley
West Bromwich Albion ,Denmark,Segundo Delantero,26,Bueno,Kenneth Zohore
Albacete BP ,Spain,Defensor Central,32,Bueno,Álvaro Arroyo
Monarcas Morelia ,Mexico,Segundo Delantero | Mediocampista Derecho,30,Bueno,Luis Mendoza
Stoke City ,Republic of Ireland,Defensor Lateral Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,31,Bueno,James McClean
SK Slavia Praha ,Czech Republic,Segundo Delantero,29,Bueno,Stanislav Tecl
Unión La Calera ,Argentina,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,32,Bueno,Gonzalo Castellani
Fulham ,United States,Defensor Central,32,Bueno,Tim Ream
Sassuolo ,Morocco,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,28,Bueno,Mehdi Bourabia
KAS Eupen ,Spain,Defensor Central | Mediocampista Defensivo Central,28,Bueno,Jordi Amat
F.C. Tokyo ,Japan,Arquero,33,Bueno,Akihiro Hayashi
SPAL ,Italy,Defensor Lateral Derecho | Mediocampista Derecho,28,Bueno,Jacopo Sala
Athlétic Club Ajaccio ,France,Arquero,31,Bueno,Benjamin Leroy
Eintracht Frankfurt ,Germany,Arquero,30,Bueno,Felix Wiedwald
Sheffield Wednesday ,England,Mediocampista Izquierdo | Extremo Derecho | Extremo Izquierdo,27,Bueno,Kadeem Harris
Girona FC ,Spain,Defensor Central,27,Bueno,Ignasi Miquel
La Equidad ,Colombia,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,36,Bueno,Stalin Motta
Yeni Malatyaspor ,Benin,Arquero,35,Bueno,Fabien Farnolle
CD Lugo ,France,Defensor Central,29,Bueno,Mathieu Peybernès
Cardiff City ,England,Mediocampista Derecho | Extremo Derecho,28,Bueno,Nathaniel Mendez-Laing
Free Agents ,Hungary,Mediocampista Derecho | Mediocampista Izquierdo,30,Bueno,Roland Varga
Monarcas Morelia ,Chile,Defensor Central,34,Bueno,Gonzalo Jara
Crotone ,Italy,Defensor Central | Mediocampista Defensivo Central,30,Bueno,Luca Marrone
Barnsley ,Austria,Mediocampista Izquierdo | Mediocampista Central,27,Bueno,Marcel Ritzmaier
SPAL ,Serbia,Defensor Lateral Derecho | Defensor Central,32,Bueno,Nenad Tomovic
Konyaspor ,Senegal,Defensor Central | Mediocampista Defensivo Central,30,Bueno,Fallou Diagne
Djurgårdens IF ,Norway,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Fredrik Ulvestad
Hamburger SV ,Germany,Mediocampista Defensivo Central | Mediocampista Central,30,Bueno,Christoph Moritz
Lechia Gdansk ,Portugal,Segundo Delantero | Mediocampista Derecho,35,Bueno,Flavio Paixão
Minnesota United FC ,Slovakia,Mediocampista Defensivo Central | Mediocampista Central,29,Bueno,Ján Greguš
Besiktas JK ,Turkey,Defensor Central | Mediocampista Defensivo Central,29,Bueno,Necip Uysal
Leeds United ,England,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Adam Forshaw
Lecce ,Italy,Defensor Lateral Izquierdo,31,Bueno,Marco Calderoni
Athletic Club ,Spain,Segundo Delantero,22,Bueno,Villalibre
SV Darmstadt 98 ,Bosnia & Herzegovina,Defensor Central,28,Bueno,Dario Dumic
SSV Jahn Regensburg ,Portugal,Defensor Central,31,Bueno,Marcel Correia
Sheffield Wednesday ,England,Defensor Central,29,Bueno,Tom Lees
Brighton & Hove Albion ,Israel,Mediocampista Defensivo Central | Mediocampista Central,32,Bueno,Beram Kayal
Antalyaspor ,Angola,Mediocampista Izquierdo | Centrocampista Ofensivo Central,30,Bueno,Fredy
SK Sturm Graz ,Austria,Arquero,30,Bueno,Jörg Siebenhandl
FC Red Bull Salzburg ,Austria,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Derecho,27,Bueno,Patrick Farkas
Stade Malherbe Caen ,France,Mediocampista Derecho | Mediocampista Central,34,Bueno,Anthony Gonçalves
Perugia ,Italy,Segundo Delantero,29,Bueno,Diego Falcinelli
KV Kortrijk ,Belgium,Segundo Delantero | Mediocampista Izquierdo,33,Bueno,Ilombe Mboyo
Hannover 96 ,Russia,Defensor Lateral Izquierdo | Mediocampista Izquierdo | Mediocampista Central,30,Bueno,Edgar Prib
Fulham ,France,Defensor Lateral Izquierdo | Defensor Central,30,Bueno,Maxime Le Marchand
CD Numancia ,Spain,Defensor Lateral Izquierdo | Mediocampista Izquierdo | Centrocampista Ofensivo Central,30,Bueno,Marc Mateu
Club Atlético Peñarol ,Uruguay,Defensor Lateral Derecho | Defensor Central,32,Bueno,Gary Kagelmacher
Sporting Kansas City ,Spain,Defensor Central,30,Bueno,Fontàs
Newell's Old Boys ,Argentina,Segundo Delantero | Mediocampista Central | Centrocampista Ofensivo Central,32,Bueno,Mauro Formica
FC St. Pauli ,Germany,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,28,Bueno,Christopher Buchtmann
Hammarby IF ,Brazil,Segundo Delantero | Extremo Izquierdo,34,Bueno,Paulinho
